,name,polygon,area
34,Yunus Emre Parkı,"[(32.8182197, 39.9277869), (32.8188196, 39.927693), (32.8188272, 39.9277364), (32.8190217, 39.9282121), (32.8199425, 39.9302465), (32.8182197, 39.9277869)]",7424.285570056665
35,Nasreddin Hoca Parkı,"[(32.7425864, 39.9739398), (32.7431295, 39.9730447), (32.7441776, 39.9734181), (32.7436345, 39.9743133), (32.7425864, 39.9739398)]",10814.42644733529
37,77 nci Yil Parkı,"[(32.8957975, 39.9327057), (32.8950572, 39.9326645), (32.8950786, 39.9322532), (32.8952288, 39.9316938), (32.8953469, 39.9310767), (32.8954863, 39.9302376), (32.8955614, 39.9293573), (32.8956258, 39.9285428), (32.8956687, 39.9277447), (32.8961783, 39.9276233), (32.8962079, 39.9278928), (32.896122, 39.9286641), (32.8959852, 39.9295897), (32.8958806, 39.9302355), (32.895776, 39.9308669), (32.8957224, 39.9312906), (32.8957975, 39.9313976), (32.8961623, 39.9314799), (32.8960228, 39.9320064), (32.8957975, 39.9327057)]",26362.474533699897
38,Şafaktepe Parkı,"[(32.8889099, 39.9380691), (32.8888562, 39.9378223), (32.8884472, 39.9372974), (32.888021, 39.9372194), (32.8874706, 39.9371805), (32.8876407, 39.9366586), (32.88823, 39.9367394), (32.8884405, 39.9363902), (32.888459, 39.9362343), (32.8887943, 39.9362699), (32.8888852, 39.9358427), (32.8890912, 39.9357485), (32.8898969, 39.9361853), (32.8904977, 39.9365719), (32.8904763, 39.9371807), (32.8903582, 39.937485), (32.889972, 39.9377154), (32.8892532, 39.9379868), (32.8889099, 39.9380691)]",36212.91779672324
42,Lozan Parkı,"[(32.867292, 39.8761757), (32.867832, 39.8761956), (32.8685474, 39.8762102), (32.8687746, 39.8762148), (32.8688668, 39.8754588), (32.8688983, 39.875125), (32.8689087, 39.8750318), (32.8686501, 39.8750225), (32.8687227, 39.8743432), (32.8675234, 39.8742865), (32.8661109, 39.8744921), (32.8661028, 39.8746507), (32.8660512, 39.8752337), (32.8660425, 39.8753313), (32.8660017, 39.8756509), (32.8659649, 39.8758541), (32.8659563, 39.8759012), (32.8659417, 39.875961), (32.8660714, 39.8759822), (32.8664849, 39.8760499), (32.8666176, 39.8760716), (32.867292, 39.8761757)]",46483.2426507757
44,Celal Atik Parkı,"[(32.8778789, 39.9592075), (32.8778248, 39.9587855), (32.8783881, 39.9588026), (32.8784485, 39.9592245), (32.8778789, 39.9592075)]",2256.5268307495853
49,İncirlik Parkı,"[(33.4456431, 40.058634), (33.4462662, 40.0595877), (33.4463026, 40.0597039), (33.4461569, 40.0598712), (33.4450577, 40.060257), (33.4450759, 40.0604383), (33.4460415, 40.0601315), (33.4464362, 40.0598248), (33.4466002, 40.0595273), (33.4466124, 40.0593181), (33.4463816, 40.0589138), (33.4461447, 40.0586767), (33.4450759, 40.0579237), (33.4443229, 40.0573102), (33.4440982, 40.0574403), (33.4456431, 40.058634)]",11967.505669697648
50,Nezir Büyükcengiz Parkı,"[(32.8489307, 39.8562558), (32.8489267, 39.8561746), (32.8488988, 39.8556043), (32.8488955, 39.8555372), (32.848892, 39.8554665), (32.8488864, 39.8553519), (32.8497241, 39.8554691), (32.8497393, 39.8559882), (32.8491185, 39.856156), (32.8489307, 39.8562558)]",5436.946919848729
52,Teoman Öztürk Parkı,"[(32.8038702, 39.9027584), (32.8042151, 39.9018659), (32.8054114, 39.9020922), (32.8052453, 39.9026996), (32.8047625, 39.9032634), (32.8038702, 39.9027584)]",12893.973725004145
53,Çay Bahçesi,"[(32.1214811, 39.574886), (32.1219625, 39.5751031), (32.1222268, 39.5748139), (32.1217998, 39.5745589), (32.1214811, 39.574886)]",1990.253529157595
